City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
0,kutum,14.2,24.67,91.76,18,97,8.72,SD,1593359456
1,alyangula,-13.85,136.42,66.2,93,87,9.91,AU,1593359456
2,fortuna,40.6,-124.16,57.0,87,90,12.75,US,1593359456
3,ushuaia,-54.8,-68.3,35.6,69,75,19.46,AR,1593359278
4,manuk mangkaw,4.8,119.85,80.13,80,100,5.03,PH,1593359456
5,airai,-8.93,125.41,56.97,100,84,3.24,TL,1593359456
6,andenes,69.31,16.12,51.8,81,20,25.28,NO,1593359456
7,east london,-33.02,27.91,64.42,46,22,22.48,ZA,1593359456
8,busselton,-33.65,115.33,51.01,92,100,4.0,AU,1593359457
9,ilulissat,69.22,-51.1,41.0,80,75,5.82,GL,1593359457
10,rikitea,-23.12,-134.97,68.02,64,9,19.86,PF,1593359457
11,barrow,71.29,-156.79,46.4,75,1,8.05,US,1593359270
12,hamilton,39.18,-84.53,73.0,94,75,9.17,US,1593359217
13,albany,42.6,-73.97,69.01,98,21,2.39,US,1593359236
14,nsanje,-16.92,35.26,79.86,41,89,2.77,MW,1593359457
15,thompson,55.74,-97.86,57.2,100,90,9.17,CA,1593359457
16,qaanaaq,77.48,-69.36,43.79,63,29,4.5,GL,1593359457
17,port blair,11.67,92.75,83.32,78,100,9.4,IN,1593359457
18,severo-kurilsk,50.68,156.12,48.7,67,60,2.86,RU,1593359457
19,khatanga,71.97,102.5,77.09,43,44,11.01,RU,1593359458
20,luderitz,-26.65,15.16,65.61,50,0,23.76,NA,1593359458
21,nikolskoye,59.7,30.79,68.0,40,0,11.18,RU,1593359458
22,kontagora,10.4,5.47,89.24,52,72,2.24,NG,1593359458
23,kabalo,-6.05,26.92,87.73,32,89,4.43,CD,1593359458
24,pevek,69.7,170.31,31.95,99,100,18.28,RU,1593359458
25,tiksi,71.69,128.87,40.06,71,91,3.49,RU,1593359459
26,atuona,-9.8,-139.03,79.63,79,59,14.61,PF,1593359459
27,cidreira,-30.18,-50.21,59.36,55,0,3.51,BR,1593359390
28,upernavik,72.79,-56.15,41.63,70,0,8.93,GL,1593359459
29,taksimo,56.34,114.88,61.2,74,100,1.86,RU,1593359459
30,cherskiy,68.75,161.3,38.5,76,94,7.61,RU,1593359459
31,dingle,11.0,122.67,76.93,86,100,2.28,PH,1593359459
32,sistranda,63.73,8.83,77.0,47,75,18.34,NO,1593359459
33,vaini,-21.2,-175.2,75.2,94,75,4.7,TO,1593359460
34,bonavista,48.65,-53.11,57.02,85,81,10.25,CA,1593359300
35,kaeo,-35.1,173.78,51.01,3,0,3.0,NZ,1593359460
36,kampong thum,12.71,104.89,77.88,90,83,8.39,KH,1593359460
37,punta arenas,-53.15,-70.92,28.4,86,0,5.82,CL,1593359460
38,katsuura,35.13,140.3,69.01,94,100,6.55,JP,1593359460
39,hermanus,-34.42,19.23,57.99,80,28,3.0,ZA,1593359460
40,viedma,-40.81,-63.0,46.15,56,100,3.98,AR,1593359460
41,port elizabeth,-33.92,25.57,59.45,65,15,21.21,ZA,1593359461
42,hithadhoo,-0.6,73.08,85.68,68,100,8.05,MV,1593359461
43,gorontalo,0.54,123.06,73.89,88,92,2.26,ID,1593359461
44,lorengau,-2.02,147.27,81.18,80,92,8.14,PG,1593359461
45,yangambi,0.81,24.43,81.27,67,100,2.48,CD,1593359461
46,atasu,48.68,71.64,60.04,55,100,18.68,KZ,1593359461
47,poum,-20.23,164.02,71.2,70,4,9.66,NC,1593359461
48,kodiak,57.79,-152.41,51.8,87,90,9.17,US,1593359461
49,charyshskoye,51.4,83.56,53.76,62,100,4.81,RU,1593359462
50,mataura,-46.19,168.86,41.68,90,99,4.32,NZ,1593359462
51,aasiaat,68.71,-52.87,40.75,83,0,7.54,GL,1593359462
52,port alfred,-33.59,26.89,61.0,70,9,8.99,ZA,1593359462
53,bethel,41.37,-73.41,82.0,61,40,6.93,US,1593359462
54,barcelos,41.54,-8.62,78.01,83,20,8.05,PT,1593359440
55,narsaq,60.92,-46.05,55.4,54,40,8.05,GL,1593359462
56,bredasdorp,-34.53,20.04,60.8,63,33,9.17,ZA,1593359462
57,kulhudhuffushi,6.62,73.07,83.32,80,47,15.77,MV,1593359463
